epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,302.79,2.88688,4.05138,3.68706,0.00259,0.69051,0.00266,0.00049,2.71358,4.48253,3.86433,0.000549129,0.000549129,0.000549129
2,594.352,2.22803,2.536,2.79738,0.68902,0.26145,0.2069,0.05238,2.22705,3.54829,2.51526,0.00109386,0.00109386,0.00109386
3,880.824,1.95197,1.92176,2.47005,0.92111,0.45783,0.49864,0.18453,1.70535,2.76722,2.30376,0.00162759,0.00162759,0.00162759
4,1166.66,1.82904,1.57113,2.31145,0.92561,0.46265,0.52287,0.23383,1.80208,1.34151,2.2528,0.00161749,0.00161749,0.00161749
5,1454.8,1.75519,1.43197,2.21402,0.93679,0.4747,0.5464,0.27238,1.62943,1.20836,2.12369,0.00160099,0.00160099,0.00160099
6,1742.77,1.70152,1.28703,2.15296,0.80507,0.52777,0.80931,0.47888,1.47599,0.98798,1.8589,0.00158448,0.00158448,0.00158448
7,2029.32,1.65398,1.23794,2.08913,0.41785,0.80279,0.55156,0.28599,1.54259,1.30168,1.93536,0.00156798,0.00156798,0.00156798
8,2314.78,1.59407,1.15856,2.05625,0.85412,0.9244,0.88858,0.5227,1.47342,0.91959,1.89146,0.00155148,0.00155148,0.00155148
9,2599.3,1.57244,1.08022,2.01929,0.89279,0.94978,0.94409,0.57928,1.47256,0.89666,1.8594,0.00153497,0.00153497,0.00153497
10,2885.56,1.57291,1.03842,2.01471,0.72685,0.91945,0.90011,0.44846,1.62177,1.12833,2.03088,0.00151847,0.00151847,0.00151847
11,3182.62,1.54408,1.02643,1.99714,0.89969,0.9506,0.92281,0.57056,1.46579,0.89562,1.83218,0.00150197,0.00150197,0.00150197
12,3472.73,1.52106,0.98732,1.96007,0.47814,0.78483,0.74658,0.42365,1.56717,0.94692,1.93328,0.00148546,0.00148546,0.00148546
13,3759.62,1.53042,1.00037,1.98818,0.91173,0.94665,0.93912,0.54703,1.5461,0.80904,1.88584,0.00146896,0.00146896,0.00146896
14,4045.97,1.50498,0.95565,1.9474,0.77822,0.93765,0.91716,0.55718,1.48467,0.80521,1.8296,0.00145246,0.00145246,0.00145246
15,4333.5,1.5062,0.92715,1.93826,0.92726,0.96292,0.94561,0.54734,1.47918,0.7493,1.82559,0.00143595,0.00143595,0.00143595
16,4621.18,1.4774,0.92778,1.91876,0.86079,0.95307,0.94712,0.59342,1.37668,0.77937,1.74939,0.00141945,0.00141945,0.00141945
